probe,case,width,height,budget,raw_bytes,within_tolerance,coarseness,attempts,native_source_sse,native_nmse,native_source_peak,native_nmse_nonincreasing,input_sha256,raw_sha256,native_sha256,independent_native_peak,independent_native_differing,independent_source_sse
matrix-selected,p8-u16-c3-r2,257,193,12400,11096,False,62655,17,73841709498909,0.115542949000,34134,true,c3f25fc8ab7474d0353edcac0cc422b0856866cc64e425a5356058497a634649,00ae70601f801c18d67e432ae37765b045d6819761c2dc5a07cc0967a14788f8,38c435699b8b38c11b76b120af908aaa3d3c826ddae782cffecaf9a603d94b46,0,0,73841709498909
matrix-selected,p8-u16-c3-r4,257,193,24800,24740,False,62175,17,27968229239481,0.043762958720,47235,true,c3f25fc8ab7474d0353edcac0cc422b0856866cc64e425a5356058497a634649,3b99775d0820d6e83435ba9452851427e6be5eef8de8685bb652bc92c969ce8e,70caed926062ec3ac243d923880d81e43cf1d943950c55c4d784126e628dda59,0,0,27968229239481
extreme-65,p8-u16-c1-r1,65,65,528,515,True,62475,17,1865274218058,0.102794378853,32683,true,505dac55aad4f121377fa22064a51fbf841558f611455777dbabc2a18146a42b,7c5e8c302d8c2855cdf97a89c178d079b6a5c4274c41a3d633df57354a81a4fe,04c241e4d100e98b121eaab48c13c6c6c7df57fe620749c503c201202c19d7a1,0,0,1865274218058
extreme-65,p8-u16-c1-r2,65,65,1056,992,False,60315,17,972072519714,0.053570456235,26746,true,505dac55aad4f121377fa22064a51fbf841558f611455777dbabc2a18146a42b,99698f3a5525f18e6dc206c7b98ce625fcad3ba8e251675bb8b4b53a20ebc2e8,68eee11de8996cf6d927786a9f092d25c8cd8e8b93edf67efa5082d7840e6476,1,14,972072932182
extreme-65,p8-u16-c1-r4,65,65,2112,1947,False,57633,17,112464392166,0.006197859395,23981,true,505dac55aad4f121377fa22064a51fbf841558f611455777dbabc2a18146a42b,3ba603fc4b130a27dafeb65639564744ea7f0f895e97f7be0bd6d60353bb08ac,a5c3b273b988b8af6e0da2c361a4de9355f1d0fa21f87c86c94188cc3d7afe56,1,6,112464357314
extreme-65,p8-u16-c3-r1,65,65,528,419,False,64815,17,9784543151472,0.179740513197,35155,true,135cf9ab7f581b210547485c3ff8db69f30a36ad49500324b33c14082ea10adf,a258a431407c73e6fec9b0f2b002249849069ef1c5d6cae2df411cb9f9c40571,6d0858750991c539d68b8cfaee6f450d1a0f3c29b419cda88a52604564176112,0,0,9784543151472
extreme-65,p8-u16-c3-r2,65,65,1056,965,False,63615,17,6569686120689,0.120684097008,32767,true,135cf9ab7f581b210547485c3ff8db69f30a36ad49500324b33c14082ea10adf,bdde8698277068c48bf8a25238321d6b69761693356a9912f5acea5b3b3ee875,0b50a8c5f6efbabebba6ba7104ef21f5ae52c7f00ba14900c074b006aa9ce3d5,0,0,6569686120689
extreme-65,p8-u16-c3-r4,65,65,2112,1439,False,62415,17,5476496015457,0.100602367336,32684,true,135cf9ab7f581b210547485c3ff8db69f30a36ad49500324b33c14082ea10adf,7ec03ba983a2ea844d0be4795286d162a5c609955bb4e5563a16d476aa4fe8e0,714daa0616618c36e85b15ef0ce01893a92971d171b325157daf536bf8684844,1,39,5476493568558
resource,p1-u16-c3-r1,1024,1024,131072,131018,True,62441,17,931943215060952,0.068979759413,64755,true,0bed20a569dd45d2c565eae3141412becb0b13866946f6dbc7688adc84cda4e7,aaa7e5e9fcb138feac8297187ed7ea954d4934e7964992a535835b560cf54bdf,2003f0b248aa90b91faa6da4aef258cf5faa7df873adfb8adfecaaa0efcf3ad5,1,2736,931943205200442
resource,p1-u16-c3-r2,1024,1024,262144,261967,True,61689,17,755826443826776,0.055944101969,60435,true,0bed20a569dd45d2c565eae3141412becb0b13866946f6dbc7688adc84cda4e7,dfd296ef4947f06c5cd495de7438c557e04e8e541edd7d4f7ec1fb0218132c72,c59bf3cc033bda19105e8f0204cfd1e9c2995ebc2eda8621da0210647becb8e7,1,3637,755826442038571
resource,p1-u16-c3-r4,1024,1024,524288,524281,True,60344,17,456592753106137,0.033795683846,56723,true,0bed20a569dd45d2c565eae3141412becb0b13866946f6dbc7688adc84cda4e7,728142639df1c29863df3a450b133fc86c3aea587f992f38a99079bc70c5ce6b,b61917cf93d96d0d91e058d7b893fa4f37330d4c3f4c1284a276d15e6c855311,1,6325,456592756889834
axis,p1-u16-c3-r1,8192,128,131072,130983,True,62448,17,933221560186897,0.069074378846,64114,true,0bed20a569dd45d2c565eae3141412becb0b13866946f6dbc7688adc84cda4e7,5196c9ae0177d6efcefbe5eaea63c0743e30efb932a5f27db6435775f51d29b9,7455eb230edbbcfc2e3b99942de171c466e9e5cef43a883e699aa4c4fedf8a69,1,2049,933221558941704
axis,p1-u16-c3-r2,8192,128,262144,262031,True,61694,17,757113697487069,0.056039380787,63436,true,0bed20a569dd45d2c565eae3141412becb0b13866946f6dbc7688adc84cda4e7,5d245d9545aac8809419d523817f9512e076b557712f8141fd907c48c7e073e6,746d257958e07a792b2b755cb44ec895e877151f1e10798fd643e7d1f1157382,1,3772,757113702134415
axis,p1-u16-c3-r4,8192,128,524288,524210,True,60350,17,458710745792549,0.033952451580,55651,true,0bed20a569dd45d2c565eae3141412becb0b13866946f6dbc7688adc84cda4e7,9a0d45e12b238e0038c8ef34db6899b6fbb190cea459ffec29f724a70bf8c661,78c4a974737099f00c42f5e4b308fcfb701f5f4a74dcdb520450e90faf77f532,1,6242,458710745844437
minimum,p0-u8-c1-r1,4,4,2,107,False,65535,1,87084,0.083702422145,128,true,b0260fb2bfa0f4fd61a948b3d93596509d11f972f9bf49b12121921fab65dadd,438df66d3860059296f5be02e6c6b111e75e0024a8582fb60ae5f725b3b10dee,4e972baaee2ad54f78153134ef6484cd1a8e383d21582a21a481d4d214161916,0,0,87084
minimum,p0-u8-c1-r2,4,4,4,107,False,65535,1,87084,0.083702422145,128,true,b0260fb2bfa0f4fd61a948b3d93596509d11f972f9bf49b12121921fab65dadd,438df66d3860059296f5be02e6c6b111e75e0024a8582fb60ae5f725b3b10dee,4e972baaee2ad54f78153134ef6484cd1a8e383d21582a21a481d4d214161916,0,0,87084
minimum,p0-u8-c1-r4,4,4,8,107,False,65535,1,87084,0.083702422145,128,true,b0260fb2bfa0f4fd61a948b3d93596509d11f972f9bf49b12121921fab65dadd,438df66d3860059296f5be02e6c6b111e75e0024a8582fb60ae5f725b3b10dee,4e972baaee2ad54f78153134ef6484cd1a8e383d21582a21a481d4d214161916,0,0,87084
minimum,p0-u8-c3-r1,4,4,2,119,False,65535,1,247964,0.079445085224,128,true,ee448a69d3abf9b8af684c29d2c02ba37116c3288ed444890cefce1bcd79e0d6,c65daee4944492ba04e58aaedea82976e50e62f0e9fa5b4451a250da96e97443,2ac4dd6f486e2f061ebe8ce8b651dbdf25d71b88184d0bf308608cdcaae05309,0,0,247964
minimum,p0-u8-c3-r2,4,4,4,119,False,65535,1,247964,0.079445085224,128,true,ee448a69d3abf9b8af684c29d2c02ba37116c3288ed444890cefce1bcd79e0d6,c65daee4944492ba04e58aaedea82976e50e62f0e9fa5b4451a250da96e97443,2ac4dd6f486e2f061ebe8ce8b651dbdf25d71b88184d0bf308608cdcaae05309,0,0,247964
minimum,p0-u8-c3-r4,4,4,8,119,False,65535,1,247964,0.079445085224,128,true,ee448a69d3abf9b8af684c29d2c02ba37116c3288ed444890cefce1bcd79e0d6,c65daee4944492ba04e58aaedea82976e50e62f0e9fa5b4451a250da96e97443,2ac4dd6f486e2f061ebe8ce8b651dbdf25d71b88184d0bf308608cdcaae05309,0,0,247964
minimum,p0-u16-c1-r1,4,4,2,107,False,65535,1,13257122348,0.192922408060,32768,true,b4fe8ecec03f07eba10152fb65551f0878debf4517171f19151129e61b3fecf7,03b9b840443ac5a341298e6c3d3a5f280d33ab4f30d85265ebf52d3b65610fa5,2cde2dbaa03402f666bf248f357e718d9c1290c3f515d37cfa6b1415b320b2b5,0,0,13257122348
minimum,p0-u16-c1-r2,4,4,4,107,False,65535,1,13257122348,0.192922408060,32768,true,b4fe8ecec03f07eba10152fb65551f0878debf4517171f19151129e61b3fecf7,03b9b840443ac5a341298e6c3d3a5f280d33ab4f30d85265ebf52d3b65610fa5,2cde2dbaa03402f666bf248f357e718d9c1290c3f515d37cfa6b1415b320b2b5,0,0,13257122348
minimum,p0-u16-c1-r4,4,4,8,107,False,65535,1,13257122348,0.192922408060,32768,true,b4fe8ecec03f07eba10152fb65551f0878debf4517171f19151129e61b3fecf7,03b9b840443ac5a341298e6c3d3a5f280d33ab4f30d85265ebf52d3b65610fa5,2cde2dbaa03402f666bf248f357e718d9c1290c3f515d37cfa6b1415b320b2b5,0,0,13257122348
minimum,p0-u16-c3-r1,4,4,2,119,False,65535,1,20236972700,0.098165232812,32768,true,8e84b72ae3e41d3e9f821b6845392946b088d0a1b4c2ba7bf4b618c39d57e2f1,598d81fcbb8cae0a407231ed94dd216114e1dc42465bd4175a8fb2048df7adc2,2f65684ac098ca047ec426e19a1e3026e816ab0c793b9566c00542645d7efb52,0,0,20236972700
minimum,p0-u16-c3-r2,4,4,4,119,False,65535,1,20236972700,0.098165232812,32768,true,8e84b72ae3e41d3e9f821b6845392946b088d0a1b4c2ba7bf4b618c39d57e2f1,598d81fcbb8cae0a407231ed94dd216114e1dc42465bd4175a8fb2048df7adc2,2f65684ac098ca047ec426e19a1e3026e816ab0c793b9566c00542645d7efb52,0,0,20236972700
minimum,p0-u16-c3-r4,4,4,8,119,False,65535,1,20236972700,0.098165232812,32768,true,8e84b72ae3e41d3e9f821b6845392946b088d0a1b4c2ba7bf4b618c39d57e2f1,598d81fcbb8cae0a407231ed94dd216114e1dc42465bd4175a8fb2048df7adc2,2f65684ac098ca047ec426e19a1e3026e816ab0c793b9566c00542645d7efb52,0,0,20236972700
