bits,components,kind,stage,packet_layers,discard,stored_bytes,delivered_bytes,entropy_bytes,coefficients,passes,synthesis_samples,entropy_us,synthesis_us,decode_us,rmse,peak,object_rmse,faint_rmse,input_sha256
16,1,part1,0,1,0,97140,16531,16339,65152,187,87296,3687,433,4555,389.164129,1890,653.540103,297.296938,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
16,1,part1,1,2,0,97140,35825,35560,65536,331,87296,7214,440,8110,101.430553,377,71.320871,104.137292,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
16,1,part1,2,3,0,97140,97140,96801,65536,856,87296,12589,419,13385,0.654993,2,0.471405,0.664580,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
16,1,resolution,0,1,2,100154,5662,5491,4096,10,5376,25,16,67,1027.675106,13457,3936.381644,606.277066,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
16,1,resolution,1,1,1,100154,23442,23253,16384,13,21760,111,74,285,747.783368,11330,3217.215100,569.362578,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
16,1,resolution,2,1,0,100154,100154,99916,65536,25,87296,484,422,1271,0.654993,2,0.471405,0.664580,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
16,3,multi_ht,0,1,0,472028,54630,54286,195456,66,261888,1053,1287,3622,384.120868,2127,467.691850,331.395372,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,multi_ht,1,5,0,472028,170296,115134,196608,75,261888,1111,1282,3682,99.598077,442,64.265076,99.044356,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,multi_ht,2,19,0,472028,472028,299749,196608,75,261888,1441,1292,4066,0.658729,3,0.666667,0.617942,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,two_ht,0,1,0,356644,54630,54286,195456,66,261888,1076,1277,3585,384.120868,2127,467.691850,331.395372,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,two_ht,1,19,0,356644,356644,299749,196608,75,261888,1452,1286,4070,0.658729,3,0.666667,0.617942,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,part1,0,1,0,290245,49356,48999,195456,552,261888,10874,1300,13426,384.120868,2127,467.691850,331.395372,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,part1,1,2,0,290245,106743,106168,196608,984,261888,20870,1265,23449,99.598077,442,64.265076,99.044356,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,part1,2,3,0,290245,290245,289448,196608,2559,261888,36851,1353,39372,0.658729,3,0.666667,0.617942,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,resolution,0,1,2,300225,16856,16581,12288,30,16128,92,49,231,1030.290615,13521,4114.762979,612.369431,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,resolution,1,1,1,300225,70330,70001,49152,39,65280,367,227,925,749.446744,11330,3284.047311,573.700072,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
16,3,resolution,2,1,0,300225,300225,299749,196608,75,261888,1441,1260,3866,0.658729,3,0.666667,0.617942,eb363af53266c1a193bfbd6697583c6de25af124d37c14de9b05fd93c8230943
